CORRECTPER, NOISE, GOLDS, TIME(MS)              
true      , 0.0  , 18   , 12.588571428571429    
true      , 0.0  , 12   , 12.791428571428572    
true      , 0.0  , 12   , 14.002857142857144    
true      , 0.0  , 19   , 15.195714285714285    
true      , 0.0  , 7    , 16.431428571428572    
true      , 0.0  , 12   , 14.12                 
true      , 0.0  , 7    , 12.972857142857142    
true      , 0.0  , 4    , 13.43142857142857     
true      , 0.0  , 18   , 13.982857142857142    
true      , 0.0  , 16   , 13.32                 
false     , 0.0  , 27   , 11.615714285714287    
false     , 0.0  , 31   , 10.914285714285715    
false     , 0.0  , 30   , 11.28                 
false     , 0.0  , 30   , 10.7                  
false     , 0.0  , 31   , 10.26142857142857     
false     , 0.0  , 29   , 9.771428571428572     
false     , 0.0  , 29   , 10.352857142857143    
false     , 0.0  , 32   , 11.27                 
false     , 0.0  , 37   , 11.448571428571428    
false     , 0.0  , 25   , 11.122857142857143    
true      , 0.025, 24   , 13.201428571428572    
true      , 0.025, 18   , 19.117142857142856    
true      , 0.025, 18   , 14.71                 
true      , 0.025, 29   , 17.38142857142857     
true      , 0.025, 16   , 14.832857142857144    
true      , 0.025, 20   , 14.005714285714285    
true      , 0.025, 13   , 14.55                 
true      , 0.025, 16   , 14.631428571428572    
true      , 0.025, 27   , 17.16                 
true      , 0.025, 15   , 16.335714285714285    
false     , 0.025, 25   , 15.557142857142857    
false     , 0.025, 22   , 12.81                 
false     , 0.025, 23   , 12.108571428571429    
false     , 0.025, 19   , 21.298571428571428    
false     , 0.025, 13   , 16.944285714285716    
false     , 0.025, 22   , 12.141428571428571    
false     , 0.025, 18   , 43.364285714285714    
false     , 0.025, 27   , 11.345714285714285    
false     , 0.025, 29   , 11.63                 
false     , 0.025, 18   , 14.845714285714285    
true      , 0.05 , 21   , 14.184285714285714    
true      , 0.05 , 16   , 16.681428571428572    
true      , 0.05 , 17   , 15.115714285714287    
true      , 0.05 , 19   , 14.38                 
true      , 0.05 , 10   , 13.63                 
true      , 0.05 , 18   , 18.542857142857144    
true      , 0.05 , 22   , 20.392857142857142    
true      , 0.05 , 21   , 46.23285714285714     
true      , 0.05 , 12   , 16.161428571428573    
true      , 0.05 , 16   , 17.212857142857143    
false     , 0.05 , 19   , 11.095714285714285    
false     , 0.05 , 17   , 69.68                 
false     , 0.05 , 10   , 13.824285714285715    
false     , 0.05 , 18   , 11.635714285714286    
false     , 0.05 , 11   , 11.168571428571429    
false     , 0.05 , 15   , 13.51142857142857     
false     , 0.05 , 10   , 21.107142857142858    
false     , 0.05 , 13   , 24.002857142857142    
false     , 0.05 , 13   , 14.465714285714286    
false     , 0.05 , 12   , 11.437142857142858    
true      , 0.075, 9    , 17.507142857142856    
true      , 0.075, 16   , 13.86                 
true      , 0.075, 10   , 44.567142857142855    
true      , 0.075, 11   , 21.63142857142857     
true      , 0.075, 6    , 14.481428571428571    
true      , 0.075, 16   , 13.901428571428571    
true      , 0.075, 12   , 14.621428571428572    
true      , 0.075, 18   , 21.372857142857143    
true      , 0.075, 10   , 15.054285714285715    
true      , 0.075, 9    , 14.231428571428571    
false     , 0.075, 12   , 13.952857142857143    
false     , 0.075, 13   , 13.188571428571429    
false     , 0.075, 10   , 59.885714285714286    
false     , 0.075, 9    , 14.142857142857142    
false     , 0.075, 6    , 12.14                 
false     , 0.075, 19   , 11.538571428571428    
false     , 0.075, 10   , 11.625714285714286    
false     , 0.075, 15   , 13.207142857142857    
false     , 0.075, 9    , 11.347142857142858    
false     , 0.075, 7    , 15.98                 
true      , 0.1  , 9    , 15.037142857142857    
true      , 0.1  , 15   , 15.58                 
true      , 0.1  , 8    , 15.254285714285714    
true      , 0.1  , 4    , 14.52                 
true      , 0.1  , 12   , 22.664285714285715    
true      , 0.1  , 0    , 14.565714285714286    
true      , 0.1  , 13   , 15.508571428571429    
true      , 0.1  , 13   , 15.59142857142857     
true      , 0.1  , 10   , 16.897142857142857    
true      , 0.1  , 15   , 14.945714285714285    
false     , 0.1  , 6    , 12.27                 
false     , 0.1  , 3    , 11.657142857142857    
false     , 0.1  , 8    , 15.662857142857144    
false     , 0.1  , 3    , 12.298571428571428    
false     , 0.1  , 3    , 22.174285714285713    
false     , 0.1  , 6    , 12.108571428571429    
false     , 0.1  , 3    , 13.687142857142858    
false     , 0.1  , 4    , 11.972857142857142    
false     , 0.1  , 7    , 11.932857142857143    
false     , 0.1  , 0    , 18.18285714285714     
true      , 0.125, 15   , 16.532857142857143    
true      , 0.125, 11   , 16.03                 
true      , 0.125, 7    , 14.798571428571428    
true      , 0.125, 6    , 15.795714285714286    
true      , 0.125, 15   , 15.631428571428572    
true      , 0.125, 6    , 15.57                 
true      , 0.125, 6    , 16.51142857142857     
true      , 0.125, 12   , 15.481428571428571    
true      , 0.125, 8    , 22.89                 
true      , 0.125, 3    , 14.774285714285714    
false     , 0.125, 3    , 12.78                 
false     , 0.125, 0    , 12.735714285714286     
false     , 0.125, 1    , 25.75                  
false     , 0.125, 6    , 13.015714285714285     
false     , 0.125, 6    , 11.964285714285714     
false     , 0.125, 6    , 12.992857142857142     
false     , 0.125, 3    , 11.71                  
false     , 0.125, 7    , 13.19                  
false     , 0.125, 0    , 11.481428571428571     
false     , 0.125, 3    , 38.1                   
true      , 0.15 , 9    , 13.97                 
true      , 0.15 , 3    , 18.275714285714287    
true      , 0.15 , 12   , 15.804285714285715    
true      , 0.15 , 4    , 16.935714285714287    
true      , 0.15 , 3    , 16.695714285714285    
true      , 0.15 , 10   , 15.938571428571429    
true      , 0.15 , 5    , 15.694285714285714    
true      , 0.15 , 9    , 15.468571428571428    
true      , 0.15 , 6    , 15.875714285714286    
true      , 0.15 , 0    , 16.442857142857143    
false     , 0.15 , 3    , 13.741428571428571    
