noise,per_corr,golds_m,golds_s           ,time_m            ,time_s            
0.0  ,false   ,30.1   ,3.178049716414141 ,10.873714285714286,0.5923821773069557
0.0  ,true    ,12.5   ,5.254627590144816 ,13.883714285714285,1.1791959288213103
0.025,false   ,21.6   ,4.765617600176404 ,17.204571428571427,9.69396379968792  
0.025,true    ,19.6   ,5.358275012642698 ,15.592571428571429,1.832855571638218 
0.05 ,false   ,13.8   ,3.2930904093942583,20.192857142857143,17.9394433487887  
0.05 ,true    ,17.2   ,3.9101008796307144,19.253428571428568,9.708086542073573 
0.075,false   ,11.0   ,3.8873012632302   ,17.700857142857142,14.89205053885128 
0.075,true    ,11.7   ,3.802046232695699 ,19.122857142857143,9.41997691501232  
0.1  ,false   ,4.3    ,2.4060109910158114,14.194714285714284,3.4981853442817807
0.1  ,true    ,9.9    ,4.863697724525605 ,16.05642857142857 ,2.4178235795189864
0.125,false   ,3.5    ,2.6352313834736494,16.372            ,8.718219544043416 
0.125,true    ,8.9    ,4.121757985239901 ,16.40157142857143 ,2.356624228658876 
0.15 ,true    ,6.1    ,3.7844711945293255,16.110142857142858,1.1139302343025905
0.15 ,false   ,2.0    ,2.0               ,12.556142857142856,1.1112184177208753
0.175,false   ,0.3    ,0.9486832980505138,12.637142857142859,0.6496843817719243
0.175,true    ,4.6    ,2.503331114069145 ,16.539428571428573,1.8371370806396634
0.2  ,false   ,0.54   ,1.2135597524338357,13.224935064935066,1.167818193083356 
0.2  ,true    ,3.3    ,2.213594362117866 ,17.42757142857143 ,2.6431056983076378
